CZAS	TEMP_SONDA	TEMP_POMIESZCZENIE	TEMP_ESP32	REG_VL	REG_Alarm_1	REG_Alarm_2	REG_Alarm_3	REG_HMI_D1_ERROR	REG_HMI_D2_ERROR	pusty	REG_HMI_D3_ERROR	REG_MaxDS_1	REG_MinDS_1	REG_MaxDS_2	REG_MinDS_2	REG_MaxDS_3	REG_MinDS_3	REG_IleCzujnikow	REG_Alarm_VL	REG_IleDetali	REG_VLMaxPomiar	REG_VLMinPomiar	REG_MaxAnalowgowyOdczyt	REG_MaxOdczytFiltr	REG_PrzekroczenieWartosc	REG_MaxAlarm
19:40:09	2956	2662	3175	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	1	1	
19:40:10	2956	2662	3175	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1828	167	2	0	
19:40:11	2956	2662	3168	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1632	29	4	0	
19:40:12	2956	2668	3168	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	4095	2434	5	0	
19:40:13	2956	2668	3175	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1907	246	6	0	
19:40:14	2956	2662	3168	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	6	1	
19:40:15	2956	2662	3168	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1663	2	6	0	
19:40:16	2956	2668	3168	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1781	120	7	0	
19:40:17	2956	2662	3168	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1685	24	7	0	
19:40:18	2956	2662	3168	185	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1728	67	7	0	
19:40:19	2956	2662	3168	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1639	22	7	0	
19:40:20	2956	2668	3168	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	2225	564	7	0	
19:40:21	2956	2668	3168	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1533	128	7	0	
19:40:22	2956	2668	3162	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	8	1	
